language,text,true_Sentiment,predicted_Sentiment
bn,বাংলাদেশ বিমান ছিনতাই || হাজার কোটি টাকার হিসাব || এইটা কোন কথা? || biman hijack || Arthik's Vlog… https://t.co/seF9TrsZ3e,negative,negative
bn,টসে হেরে ব্যাটিংয়ে বাংলাদেশ https://t.co/usOSSdQbp2 https://t.co/qYMnzKIo6I,neutral,neutral
bn,প্রকৃতি এক অসাধারণ ছবি বাংলাদেশ https://t.co/dtyL1EpfTq,positive,positive
bn,"আম গাছে আম ধরে নারিকেল গাছে ঢাব,
ছেলেদেরকে মিসকল মারা মেয়েদের সভাব।🤣

গাছের বল লতাপাতা মাছের বল পানি,
 এ যুগের মে… https://t.co/dYKTgu7snJ",positive,positive
bn,ওয়েস্ট ইন্ডিজের আফসোস করার দিন - প্রথম আলো https://t.co/ptWEKEfhtt,negative,negative
bn,ইবাদতের স্বপ্ন পূরণ https://t.co/jsO4u7mvtH,positive,positive
bn,"ঘুম ও অনেক সার্থপর।
5:47 বাজে তাও ঘুম আসে না,।
#SHIBLU",neutral,neutral
bn,RT @ZeeBanglaCinema: #Tollywood -এর সব থেকে বড় তারকারা #ZeeBanglaCinema -র মঞ্চে। দেখুন শতাব্দীর মেগা শো #100eEkShow 17th March @ 6pm। #10…,positive,positive
bn,"আমাদের ধর্ম বিশ্বাস-
নিখিল-বিশ্ব আহমদীয়া মুসলিম জামাতের পবিত্র প্রতিষ্ঠাতা হযরত মির্যা গোলাম আহমদ (আঃ) বলেন,
“আমরা… https://t.co/5MZHzW7lxN",neutral,neutral
bn,@albd1971 খুবই দরকার,neutral,neutral
bn,কাকাবাবুও কিন্তু সুকুমার রায়ের ভক্ত ছিলেন,positive,neutral
bn,"RT @ZeeBanglaCinema: #BanglaCinema &amp; @subhashreesotwe 
#ZeeBanglaCinema নিয়ে আসছে #Tollywood -এর সব থেকে বড় তারকাদের এক মঞ্চে। দেখুন শতা…",positive,positive
bn,"সিলেটে স্বস্তির বৃষ্টি, চলছে রৌদ্র ও মেঘের খেলা https://t.co/ACcSlPk1anসিলেটে-স্বস্তির-বৃষ্টি-চ/",positive,positive
bn,"যিনি সবচেয়ে কাছের তিনি আল্লাহ।

যিনি অপূর্ণতা কে পূর্ণতা দেন তিনি আল্লাহ।",positive,positive
bn,"বাংলাদেশ বনাম নিউজিল্যান্ড

বাংলার দামাল ছেলেরা ভালোই খেলতেছে,
স্কোরঃ১১৭/১
তামিম ৮৪রান*
মুমিনুল ,০৯

অভিনন্দন তামিম",neutral,neutral
bn,"RT @AhasanOpo: ভিক্ষুক কে খালি হাতে ফিরিয়ে
দিওনা,কারণ এটা তোমার উপর আল্লাহর দয়া যে
তিনি-তার সৃষ্টি কে তোমার  দুয়ারে
পাঠিয়েছেন।",neutral,neutral
bn,@CDbipLZZ4s00yYH @MdShafkat চুলগুলো পাইকা গেছে বাতাসে,neutral,neutral
bn,মজাদার হাসির জোকসটি পড়ে নিন https://t.co/ct1dQLwzrp,neutral,neutral
bn,"RT @CDbipLZZ4s00yYH: 😁😁ছবির সাথে যায়......
😆😆এমন একটি😆😆
গান এর ১/২ লাইন বলেন 😊😊✌ https://t.co/1PVtmEbyky",neutral,neutral
bn,"এইমাত্র, কঠোর আন্দোলনে সরকারের পতন ঘটানো হবে বলে হুঁশিয়ারি দিয়ে একি বললে... https://t.co/QKF68CyfMs via @YouTube",negative,negative
bn,দিন দিন হিজরাদের অত্যাচার বৃদ্ধি পাচ্ছে https://t.co/ACcSlPk1anদিন-দিন-হিজরাদের-অত্যাচা/,negative,negative
bn,ভাষানটেক বস্তির আগুন নিয়ন্ত্রণে https://t.co/iCSuQIoA1u https://t.co/132rK6ubqE,positive,positive
bn,দারুচিনির কৌটায় অসংখ্য পিঁপড়ের ডিম।,neutral,neutral
bn,RT @ZeeBanglaCinema: #Tollywood -এর সব থেকে বড় তারকারা #ZeeBanglaCinema -র মঞ্চে। দেখুন শতাব্দীর মেগা শো #100eEkShow 17th March @ 6pm। #10…,neutral,positive
bn,পাকিস্তানকে অকুণ্ঠ সমর্থন দিল তুরস্ক https://t.co/lxue1AF8EE,positive,positive
bn,"বিয়ে পাগল নাটকের মজার দৃশ্য 😄😆
পুরো নাটক দেখুন আমাদের ইউটিউব চ্যানেল এ : https://t.co/OGC5lsxwby https://t.co/BxwTG1q3dE",neutral,neutral
bn,"যে দুধ বিক্রি করে সে মানুষের দুয়ারে ঘোরে,😶

আর......যে মদ বিক্রি করে মানুষ তার দুয়ারে ঘোরে। 😐",neutral,neutral
bn,@RJ_________3 স্বাগতম,neutral,neutral
en,Clown me na https://t.co/EvpLx0qbTT,neutral,neutral
en,RT @queeninnn_: who the fuCK CHANGED THE SOUND LMAOOOO https://t.co/OByaHW5AjZ,negative,negative
en,"RT @krassenstein: Michael Cohen just testified that the President, Don Jr. and Allen Weisselberg all conspired with him in a criminal consp…",negative,neutral
en,good night ~,positive,neutral
en,RT @crucialstates: i can’t believe some of y’all still think pitbulls are the most aggressive dogs out there when fucking chihuahuas exist,negative,negative
en,RT @marceldesailly: Congratulations @ChelseaFC for Victory Vs @SpursOfficial ⚽️🙏🏾 https://t.co/Ok6lEJkcsO,positive,positive
en,I’ve got an interview for a hotel dept supervisor for my company and it feels nice,positive,positive
en,@UsaidMuneeb16 @IvankaTrump Your experience is very limited.  Unfortunately I have seen many able bodied willing to… https://t.co/FNZzw6z1rm,negative,negative
en,Check out this Technical Deep-Dive of @SUSE #CaaS Platform and #Container Runtimes https://t.co/dAIA22csnI,neutral,neutral
en,i wish aj was a drinker. 😩 i’m tryna get drunk this weekend 😭,positive,positive
en,@EBraeden i love catching you in westerns! Tonight?? #thevirginian i had no idea you made so many westerns. But no ‘stache 😢,positive,positive
en,"RT @_keuxx: Fam.
I know you've worked so hard..
And we've surpassed Shoot Out era achievements.
Its enough to be ecstatic.
BUT
we aint over…",positive,positive
en,RT @BearellRoller: Esports Linne says “signup for unist at evo!” https://t.co/MGgnVBajeu,neutral,neutral
en,"RT @911well: All our dreams can come true.. if we have the courage to pursue them.
- Walt Disney",positive,positive
en,RT @xHiLeAl_DeBestx: It’s that sad feeling that keeps us moving. https://t.co/aXtnsyhTTe,negative,negative
en,Watching “The Jump” on espn . 30 minutes and not a mention of the Milwaukee #Bucks  .@Rachel__Nichols  can we pleas… https://t.co/q7FsBZe1OQ,neutral,neutral
en,"RT @iamdraasdam: purposeful tweet
I'm still working on something a little more pithy for you @agnezmo. Perhaps, you become the most consequ…",neutral,neutral
en,RT @thisisanfield: ↪️ Trent Alexander-Arnold is the youngest ever player to record three assists in a Premier League match. https://t.co/8W…,neutral,neutral
en,"RT @plumcrumble: ANERKENNUNG - RECOGNITION. Extraordinary! A Museum in Oldenburg, Germany, featured Zebedee Models in their Exhibition on E…",neutral,neutral
en,RT @DonaldJTrumpJr: Twitter Tells Michelle Malkin to Lawyer Up for Breaking SHARIA LAW - Big League Politics  https://t.co/Lb5TgUhsIz,neutral,negative
en,I want another wagon,positive,positive
en,RT @ka1rla: I whisper “The fuck” to myself at least 15 times a day,neutral,negative
en,RT @echospectrum: Bob Ross painting an abandoned shopping mall,negative,neutral
en,RT @MornixNL: @wikileaks Wikileaks can tweet whatever it wants but everybody knows they lost all credibility with their actions before the…,negative,negative
en,@BieberSquadBRA @biba_lacradora @justinbieber Dois @justinbieber #Beliebers #BestFanArmy #iHeartAwards,neutral,neutral
en,RT @Jonathan_Feigen: Rockets' Chris Paul chooses to forgo rest in favor of playing Heat https://t.co/1VrGm5Mvcv,positive,positive
en,@LederGames They're such a cool way to explore the worlds and provide context.  I'm hoping he eventually does a RPG… https://t.co/eOG1Rq5G2T,positive,positive
en,"RT @HeyyAndie: 15. What are your travel plans? 

#ALDUBxDGArtistTambayan
#ALDUB189thWeeksary",neutral,neutral
en,RT @mjulio777pr: Hispanic Moms when they find out you got a Tattoo https://t.co/Hrn3MZl7kT,neutral,neutral
en,@sugarfuzz I howled 😂😂😂,neutral,neutral
en,@jovi9280 Dawg that’s a good question cause they only found one shell casing from with inside the car and found 8 o… https://t.co/ozll7rLRcf,positive,positive
en,RT @FHSUSecSacad: We have a winner! @FortHaysState 2019 Kansas Capitol Graduate Research Summit #CGRS winner Aline Rodrigues de Queiroz adv…,positive,positive
en,fr tho https://t.co/SinIuk4gq1,neutral,neutral
en,RT @Nicole72Nicole: Due to personal reasons im gonna start snorting my pre workout,neutral,neutral
en,RT @ArianaGrande: you’ll never kno,neutral,neutral
en,Me thinking should i go to the toilet or not,neutral,neutral
en,RT @janeosanders: Share the entire 4-minute testimony by @AOC to clearly demonstrate professional conduct and leadership. Her questioning e…,positive,neutral
en,RT @B_hundred_Hyun: Thankyou for coming #prive #bebrave #behumble https://t.co/uY3kFdjXvx,neutral,neutral
en,@BuckSexton I had to work today to pay for the “New Green Deal”.,negative,negative
en,does your mom want to adopt me cause these angles!...so loyal https://t.co/IiLZ2YQKJo,positive,positive
en,RT @TheMedicalShots: Leg press goes terribly wrong! https://t.co/1gqRdCibWI,negative,negative
en,"Kim: ""I hope we can make fruitful achievements that many people are waiting for, and I will try my best."" Trump: ""W… https://t.co/BcrmGVuWaf",positive,positive
en,RT @ScribbleUp: It’s weird how nobody talks about this shit https://t.co/Ud7K15fdWG,negative,neutral
en,"RT @dreamarlowe85: Does Paducah Tilghman's Avery Strayhorn have the best hair in west Kentucky?

The only answer is ""yes."" https://t.co/zYs…",positive,positive
en,@keyyysssssss pretty healthy,positive,positive
en,They looked like a child’s drawings. Standing still. Sticks.,positive,positive
en,RT @DavidCornDC: I could tweet this every minute: Why are Republicans not in the least bit concerned about a president who secretly negotia…,neutral,neutral
en,RT @RetweetToWinUK: Happy #WinItWednesday follow us &amp; winitwednesday_ for loads of the best competitions in one place https://t.co/LLIu9zfe…,positive,positive
en,RT @lilnofriends: my doordash driver is talking crazy bro https://t.co/BJZnqR4bCG,negative,neutral
en,@MrJohnNicolson @tomfrench85 As a rule I never swear on social media.  It's not big and it's not clever and I don't… https://t.co/eaYbGY4EFr,negative,negative
en,#Now Playing Bri Briana Babineaux - I'll Be The One https://t.co/SAXrmAkAih,positive,positive
en,"RT @theseoulstory: According to this report, #SEVENTEEN Dokyeom will be part of the musical 'Excalibur' playing the lead role starting June…",positive,positive
en,RT @sazwanajmi: Supermom :') https://t.co/pY6tTrwNSM,positive,positive
en,Hoping that their rivals promoting them too 🤧🤧 https://t.co/P8FBdCEawB,positive,positive
en,@nicomaki_ This anime is still going shiiiieeeet. It's been years,neutral,neutral
en,"RT @robbystarbuck: Rep. Rashida Tlaib just called a black woman @LynnePatton who supports Trump “a prop"" &amp; seemed to accuse Rep. Mark Meado…",positive,positive
en,RT @_Beniexo: What’s soooo frustrating about Joy Morgan’s death is that there was hardly no news coverage. &amp; now that she’s been announced…,negative,negative
en,RT @__StevieDrae: Unpopular seafood confession: the corn low key be the best part if it’s super sweet https://t.co/k57bxtv3lu,positive,positive
en,So true! #Veritas #DocendoDiscimus https://t.co/DRX1IJ2ORn,positive,neutral
en,RT @mollyday15: She sits on the esteemed House Foreign Affairs committee receiving classified information as a proud Muslim who hates Ameri…,positive,positive
en,RT @nuestroll: Stay alone at a hotel VS stay at home with bros. #NUEST #민현 https://t.co/27dzNuibhY,negative,neutral
en,RT @chrislhayes: It takes an extremely strenuous effort of pretending to be stupid to not see that *obviously* Trump knew the Russians were…,negative,negative
en,RT @markandmary211: @ASavageNation @neff630 Yeah I left time in jail but I doubt it,negative,negative
en,"RT @PaymentsCardsM: The world’s decision makers across the Payments, Financial Services and Commerce community will unite at Money20/20 Asi…",neutral,neutral
en,RT @OpTicMaNiaC: Sometimes when I’m at a light or standstill traffic I just keep inching up then hitting my brakes just to watch the entire…,neutral,neutral
en,Edwardsville School District 7 honors several employees. Congrats to all those making such a positive difference in… https://t.co/BblWrZdFmu,positive,positive
en,@scknows @NickEngvall @MattHalfhill @kustoo LEBRON COULDN’T EVEN GO TO A STORE AND BUY HIS OWN SHOE!!! I mean not t… https://t.co/bvAs74CMuf,neutral,neutral
en,"WBB: Pitt State Set to Battle Lopers, No. 3 Lady Tigers @GorillasWBB https://t.co/B0AQIejGpb",negative,negative
en,"RT @RoscoeBDavis1: It's clearly intended to be sent from another account and was deleted in less than 60 seconds. 

Three minutes later it…",positive,positive
en,"For those adamant that BR is a rat take a look at this cnt.
Now that's a rat https://t.co/51CCp7qq7D",neutral,neutral
en,"RT @NetflixLifee: #Lucifer season 4 is coming to Netflix this spring. We picked out a few possible release dates. 

https://t.co/d9gNHi7PUe",neutral,neutral
en,RT @chstains: olivia colman’s speeches but it’s just her being iconic with the favourite theme song playing https://t.co/GGFLipHXeD,positive,positive
en,@sandermagat @markvio_ @amberbolos Hi sander,neutral,neutral
en,RT @NateWantsToBtl: My sad son. I will cry with you all the way to the hall of fame. https://t.co/5SSiG06px7,negative,positive
en,here’s a pic w very shitty quality https://t.co/UMNFgFxNb6,negative,negative
en,RT @tommyxtopher: WATCH: Outraged Non-Racist Mark Meadows Once Told Crowd 'We're Going to Send Obama Home to Kenya' https://t.co/DVSlDIcQVk…,negative,negative
en,RT @MzMaryKhalaf: @Harlan @RashidaTlaib @MarkMeadows @LynnePattonHUD Rashida belongs to a community that shuns marriage between Africans or…,neutral,neutral
en,"Although deserved, reparations have not been an issue in elections in my lifetime. Now it is a wedge issue to get B… https://t.co/plz3uJShKN",neutral,neutral
en,that's MY boy 😜💝 https://t.co/N1vajcWlAf,neutral,neutral
en,how are all studies and relatively quick inks ha ah ah h a h ha ha,positive,positive
en,"RT @khanak_08: Vinicius junior: we are not afraid of Messi.
Messi: I ....................
Suarez: please hand over the assignment to me, yo…",positive,neutral
en,RT @KeyisQueen: I ain’t tryna make it easy for niggas 😂 &amp; i never will 🤷‍♀️💯,positive,positive
en,Mount Crowe (again) https://t.co/2m6LWF5HSI https://t.co/VD2quQmjll,neutral,neutral
en,@GOP Whoever runs this twitter account is Baghdad Bob without the panache.,neutral,neutral
en,RT @kittyarchive: knock knock https://t.co/Mbmq999R7S,neutral,neutral
en,RT @seungchill17: Waking up early and dokyeom musical and possibly vernxtobi song I am https://t.co/8g08zsTTzp,neutral,neutral
en,@neisiii We wish you the best with school! It's never too early to explore your options. Here is a list of companie… https://t.co/wfI4i2YiWb,positive,positive
en,RT @soompi: #EpikHigh Announces #BTS' Suga And #Yuna As Collaborators On New Album https://t.co/GpuGIED6mQ https://t.co/dPdbxFAJgW,neutral,neutral
en,"RT @nbcbrooklyn99: In true #Brooklyn99 fashion, we waited 9 seconds to tell them the good news. 😏 We're coming back, y'all! https://t.co/T3…",positive,positive
en,Cause I am more than atoms and potions smoke mirrors and potions. A bag of bones in motion! https://t.co/d2vZ4E4etr,neutral,neutral
en,RT @Jeremym__: Shoutout to jetblue tho 🇩🇴🇩🇴🇩🇴🇩🇴🇩🇴🇩🇴 https://t.co/81xF8Ou4gC,neutral,neutral
en,@RedaMor_ As do I.  It is his need to be in the center and control others.,neutral,neutral
en,"Win 2 of five seats, still in the minority in both legislative chambers...momentum? That’s a low bar.  https://t.co/tfbIH2dpoj",positive,positive
en,@banky_mair @SteveScalise Your key word here is “naturally”. All people will die at some point in time of “natural”… https://t.co/FnARZYGuaV,negative,negative
en,RT @Ruleyork: If y’all change your name back to the Rochester Royals I’ll lift the curse lmao 😂 @SacramentoKings,positive,positive
en,"Attention Eagle family 🚨
I’m asking for help around the community that if you or someone you know has a Mattress Sa… https://t.co/xk4d3jvE3n",positive,positive
en,RT @Rambobiggs: He’s the perfect example of a democrat. Take no responsibility for your actions. Pivot away from your mistakes at all times…,neutral,neutral
en,"RT @experimentbooks: In case you missed it: it's not too late to treat yourself to one of these delicious #vegan #recipes 
https://t.co/OHJ…",positive,positive
en,Weather 2/27/2019 5:00 PM: 40.5F 60% humidity 29.619inHg Wind N/0.00mph Rain today 0.00in,neutral,neutral
en,@WeAllArePFDJ @reportergirlERI Beautiful....,neutral,neutral
en,@josiahh1k @MeekMill He get out he going to witness protection he’ll never show his face around street niggas again.,negative,neutral
hi,"RT @rahulroushan: बंदूक से क्रांति वालों के मुंह से निकले जब शांति
समझ लो वो रक्तपिपासू दैत्य फैला रहे हैं भ्रांति https://t.co/WdEwJ22OA3",positive,positive
hi,"RT @BJP4India: लोग कहते हैं कि आजकल का युवा सवाल बहुत पूछता है, उसमें धैर्य नहीं है, उसे हर चीज में नयापन चाहिए।

लोग कुछ भी कहें लेकिन मैं…",positive,negative
hi,"RT @BoltaHindustan: मोदी बोले- देश सुरक्षित हाथों में है, साक्षी बोलीं- अगर देश सुरक्षित होता तो पुलवामा में 'जवान' शहीद ना होते

#SakshiJo…",neutral,neutral
hi,"RT @IWillSpeakToo: सुना है लाहोर में black out है, अबे challenge तो रोज़ कर रहे थे अब इतना सन्नाटा क्यों है? हिंदुस्तान से पंगा लिया है??
#…",positive,positive
hi,"RT @nishantchat: युद्ध किसी को नहीं पसंद लेकिन अगर युद्ध अधूरा रह जाए तो फिर युद्ध की ज़रूरत पड़ती है 

पाकिस्तान से पिछले हर युद्ध अधूरे र…",neutral,neutral
hi,"RT @FranticLadki: Modi ji kuch karein to wo vote ke liye kar rahe hai kuch na karein to arey modi kuch karte kyun nahi 
Kya chutiya log ho…",neutral,neutral
hi,RT @RahulSinhaZee: विंग कमांडर अभिनंदन आप पर गर्व है,positive,positive
hi,RT @ashutosh83B: पहले दलितों को गौरक्षा के नाम पर पिटवाओ फिर वोट के लिये उनके पैर धोओ । वाह रे पाखंड की राजनीति । सत्य हिंदी की दो टूक !  h…,negative,negative
hi,Modi chai waly ky bachy ko chai plaiiii https://t.co/EQoqpaL3jm,neutral,neutral
hi,"RT @FranticLadki: Modi ji kuch karein to wo vote ke liye kar rahe hai kuch na karein to arey modi kuch karte kyun nahi 
Kya chutiya log ho…",neutral,neutral
hi,@amitmalviya Ab khud bhakt log tumhe chappal lekar maarenge tumhe aur tera Modi ko.,negative,negative
hi,"प्रधानमंत्री @narendramodi आज एक करोड़ बीजेपी कार्यकर्ताओं को संबोधित करेंगे

पढ़ें पूरी खबर-… https://t.co/p9GRDkS78V",neutral,neutral
hi,"RT @FranticLadki: Modi ji kuch karein to wo vote ke liye kar rahe hai kuch na karein to arey modi kuch karte kyun nahi 
Kya chutiya log ho…",neutral,neutral
hi,@PMOIndia Modi Ki jai ho.....jai hind....,neutral,neutral
hi,@salilarya @PM__MODI @narendramodi जय हिंद,positive,neutral
hi,"RT @nishantchat: सिर्फ़ शर्म और शर्म आती है उन नेताओं पर जो आज भी देश से पहले राजनीतिक हित देख रहें है 

वीर अभिनंदन को वापस लाने के लिए भा…",negative,negative
hi,"RT @nikhildadhich: Burnol moment for pidis 🤣

मोदी के 56 इंच के सामने फीकी पड़ी प्रियंका वाड्रा की सूरत, लोग बोल रहे, अपना मोदी ही ठीक है…",negative,negative
hi,"RT @drmanojrajoria: देश सुरक्षित हाथों में है: वायु सेना द्वारा की गई स्ट्राइक के बाद प्रधानमंत्री मोदी
https://t.co/zNxI0JEJed

via NaMo A…",neutral,neutral
hi,"RT @drmanojrajoria: मैं देश नहीं मिटने दूंगा: प्रधानमंत्री मोदी ने भारतीय वायु सेना की तारीफ करते हुए कविता सुनाई
https://t.co/RfnFtTNaTM…",neutral,neutral
hi,"RT @drmanojrajoria: सर्जिकल स्ट्राइक 2.0: प्रधानमंत्री मोदी के लिए सोशल मीडिया यूजर्स बोल रहे 'बंदा अपना सही है'
https://t.co/WXcPbYnOru

v…",neutral,neutral
hi,"RT @drmanojrajoria: मानवता के दुश्मनों से धरती को बचाने के लिए प्रभु की शक्ति हमेशा हमारे साथ रहती है: प्रधानमंत्री मोदी
https://t.co/W7Kbd…",neutral,neutral
hi,"RT @drmanojrajoria: यूपीए के दौरान सरकारी योजनाओं के 8 करोड़ फर्जी लाभार्थी थे, जन धन को आधार से जोड़कर से हमने 1.10 लाख करोड़ रुपये की बचत…",neutral,neutral
hi,"RT @News18India: पाकिस्तानी अभिनेत्रियों ने खोला भारत के खिलाफ मोर्चा, पीएम मोदी को कहा -'We Will Surpise You'
https://t.co/Dbp2baYOKd",negative,negative
hi,"RT @DrGPradhan: आप सब से अनुरोध है कृपया सो जाइये 

देश सुरक्षित है 
सेना मुस्तैद है 
चौकीदार सचेत है 

और हम जैसे लफंगे जग रहे है",neutral,neutral
hi,"RT @KirronKherBJP: #SurgicalStrikes2 

Am so proud of our #IndianAirForce.   

As they say, Modi hai to mumkin hai!  

Jai Hind!!

Bharat M…",positive,positive
hi,"RT @HIMANSH11792929: #BSPHCL_SCAM @cm of bihar niteesh kumar@ sushil modi @tegshwai yadav@pappu yadav  
please sir , i want justic.",positive,positive
hi,"RT @aajtak: विजय माल्या को देश में लाने का रास्ता साफ #BringMallyaBack
https://t.co/hEMg3r35gV",neutral,neutral
hi,"RT @News18India: सूत्रों ने बताया कि तीनों सेना चीफ से मुलाकात के बाद पीएम ने उन्हें फैसले लेने की पूरी आजादी दे दी है.
@narendramodi
https…",neutral,neutral
hi,RT @Doval_Ajit12: Indian Navy to Modi ji - Ham khali baithe hai sabko mouka de rahe ho ek baar hame bhi hath saaf karne ka mouka dedo .,neutral,neutral
hi,@MehboobaMufti Modi sab jung maslay ka hal nehi hoti masla hal hota hai baat cheet karnay se jung se to khali garee… https://t.co/BVriZakDX3,positive,neutral
hi,RT @darshanpathak: Yeh keh raha hai Modi ji France ko bol do Rafale ki delivery sidhi Rawalpindi par kare! https://t.co/CYk6YsQIZ2,neutral,neutral
hi,@WaeGooolll @rohitaashutosh @iVeenaKhan @ImranKhanPTI Modi jo kar raha wo uska kaam hai ham jo kar rahe wo hamara k… https://t.co/njIjQJXIiY,neutral,neutral
hi,RT @Ajitkumar_Kanan: नेपोलियन (Modi) की तरह जनता को यूद्ध में झोंककर सत्ता में बने रहना चाहते है मोदी? | NewzHour https://t.co/lSRUwXDnJV,negative,negative
hi,"RT @pallavipatil999: पाकिस्तानी सेना को भी इमरान खान ने खुली छूट दी है , 

भारत छोड़ किसी भी तरफ भाग सकते हैं।😂😂

@80_gupta @priyasha_88 @8…",negative,negative
hi,"RT @theskindoctor13: Modi : Ye hamare logo ke mu kyu utre hue hain? Itna bada attack kiya Pakistan par. Khush kyu nahi ye log?

Shah : Bhai…",negative,negative
hi,"Those who are saying #SayNoToWar, forget it, Modi ji ko election jeetna hai, phir woh Hindustan ka ho ya Khabrastan… https://t.co/llHO365fG5",negative,negative
hi,"RT @RMVM1B4y4H6uyz4: जंतर मंतर से देखिए. वीर और वीरंगनाओ की हुंकार. 
दिल्ली भी हिलेगी.. और सभी राज्य सरकारें भी हिलेगी.
जब अगली पीड़ी का अ…",neutral,neutral
hi,@YogiAdityanath_ @OfficialDGISPR chup kar yogi aur is ko talash karo is na maarwa diya hai 😂 modi ko aur is pilot k… https://t.co/KafMkTlk1k,negative,neutral
hi,"RT @abpnewshindi: तीनों सेनाओं के प्रमुख से पीएम @narendramodi ने की अहम बैठक, सेना को दी गई खुली छूट- सूत्र

#PMModi 
https://t.co/rlSggld…",neutral,neutral
